PlayerId,DraftSeason,CollegePosition,ProPosition,FirstName,LastName,Hgt,Wgt,Age,Forty,Arm,Hand,Wing,Test,TestAttempt,TenYard,TwentyYard,ThreeCone,VJ,BJ,TwentyShuttle,SixtyShuttle,BP,BodyFat,LeanMass,IndyInvite
87325,2015,DS,DS,SEAN,MOLLS,71.88,189,23.4,4.46,31.75,9.5,76.125,14,23,1.63,2.62,7.2,33.5,10.02,4.31,11.41,13,NULL,NULL,N
73914,2014,QB,QB,BRANDON,BROOKS,75.5,216,23.5,4.98,32,10.375,77.375,19,33,1.78,2.86,7.12,29,8.08,4.78,NULL,NULL,NULL,NULL,N
50101,2012,RB,RB,ZACCHAEUS,MILTON,69.88,206,20.9,4.41,30.5,9.375,74,16,19,1.54,2.52,7.09,41,11,4.12,11.59,NULL,11.3,182.856,Y
32755,2014,WR,WR,TAUREN,HOSKEY,72.38,175,22.1,4.38,33.375,8.875,77.5,18,23,1.54,2.55,7.09,38,10.04,4.33,11.99,NULL,4,167.9,Y
42715,2014,WR,WR,ISAIAH,ANDRE,72.13,212,22.7,4.65,31.25,9.5,77.5,19,48,1.63,2.69,7.29,34.5,9.11,4.39,11.63,7,NULL,NULL,N
52620,2014,LS,LS,ANTHONY,MORGAN,71,227,23.1,5.16,30.25,9.5,73.375,31,39,1.79,2.95,7.65,26,8.05,4.69,NULL,7,NULL,NULL,N
48085,2014,DE,DE,MICHAEL,MOTTA,74.13,258,23,NULL,31.125,9.25,78.5,8,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
97106,2015,QB,QB,GRANT,LEE,78.5,237,21.8,5.11,33,10.125,79,22,26,1.77,3,7.56,27,8.05,4.6,NULL,NULL,NULL,NULL,N
79347,2013,QB,QB,CLARK,SCALES,74.88,227,23.2,5.17,32.625,9.125,78.125,24,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.6,190.898,Y
73912,2015,WR,WR,JAMAAR,DANIELS,71,204,23.3,4.44,30.125,9.5,74.375,25,34,1.64,2.5,6.65,40.5,10.08,3.94,11.6,20,NULL,NULL,N
85031,2012,OG,OG,JACOB,HAMLETT,75.5,330,22,5.31,33.75,10.25,81.5,18,37,1.82,3.05,8.03,23,7.09,4.9,NULL,20,NULL,NULL,N
45421,2013,WR,RS,HENRY,RUSSELL,68.25,162,24.5,4.34,29.75,8.625,72,14,18,1.56,2.49,7.52,34.5,10.01,4.37,11.76,12,NULL,NULL,N
81573,2015,WR,WR,RYAN,WILLIAMS,72.63,209,23.7,4.46,30.875,9.625,74.75,16,34,1.58,2.57,7.03,32,9.03,4.4,11.51,15,NULL,NULL,N
83137,2012,DS,DS,MARK,WILLIAMS,75,203,23.5,4.52,34.875,9.5,82.375,16,23,1.64,2.77,7.25,35.5,9.11,4.36,11.73,10,NULL,NULL,N
71920,2013,OT,OG,CRAIG,SMITH,78.25,318,23.6,5.23,33.875,9.875,82.625,31,41,1.83,3.07,7.96,29,8.05,5.09,NULL,22,NULL,NULL,N
58262,2012,OT,OG,DIMITRI,LEE,75.75,338,23.2,5.31,34.625,10,83.375,18,26,1.88,3.07,7.87,27,8.06,4.9,NULL,20,26,250.585,Y
67233,2015,LS,LS,TEVIN,URSCHEL,73.38,249,23.5,5.43,30.875,9.375,74.25,25,33,1.9,3.09,7.78,24.5,8.03,4.66,NULL,9,NULL,NULL,N
86557,2013,TE,TE,JARRED,GARRETT,75.75,242,23.4,4.8,32.25,10.125,76.5,33,34,1.66,2.79,7.39,27.5,8.1,4.5,12.38,19,NULL,NULL,N
88518,2015,DS,DS,TRAVIS,HUDSON,72.25,195,21.8,4.76,31.5,9.875,75,11,50,1.68,2.74,7.12,32,9.02,4.2,12.14,11,13.8,168.661,Y
48200,2012,QB,QB,DERIC,DEACON,74.25,216,23,NULL,31,8.625,74.125,22,37,NULL,NULL,7.04,29,9,4.28,NULL,15,NULL,NULL,N
95926,2015,QB,QB,LUKE,FULLINGTON,73.75,217,23.5,4.73,31.25,9.125,77.125,34,50,1.7,2.68,7.27,35,9.05,4.35,NULL,NULL,NULL,NULL,N
67102,2013,OLB,OLB,KENDAL,COMPTON,76.88,235,23.6,4.91,33.375,9.25,77.875,28,41,1.75,2.77,7.22,32.5,9.11,4.43,11.83,19,NULL,NULL,N
15227,2013,WR,WR,CIERRE,FREESE,69.88,169,NULL,4.54,31.5,9.5,75.625,25,50,1.63,2.72,7.11,37.5,10,4.29,11.77,10,NULL,NULL,N
73159,2015,DE,OLB,COURTNEY,LOKOMBO,75,247,22.6,4.76,32.625,9,78,9,14,1.65,2.74,7.11,28.5,9,4.59,NULL,12,NULL,NULL,N
83591,2012,WR,WR,AUSTIN,HILL,70.5,190,24.1,NULL,30.25,9,72.625,23,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,10,173.011,Y
94807,2014,DE,OLB,CALVIN,ACKER,75.25,255,22.5,4.75,33.75,10.625,82,18,33,1.62,2.73,7.26,31,9.02,4.4,11.58,18,NULL,NULL,N
41134,2015,LS,LS,SEAN,HERMAN,70.75,243,22.3,5.37,30.25,9.25,71.625,23,49,1.83,3.09,NULL,26.5,8.04,NULL,NULL,21,NULL,NULL,N
66520,2012,WR,WR,LORNE,DUCRE,76.13,218,NULL,4.69,33.25,9.25,80,15,30,1.68,2.75,7.34,32.5,9.1,4.5,11.83,11,NULL,NULL,N
52067,2014,DS,DS,CHRISTOPHER,HARRIS,72,193,24.7,4.69,31.25,9,76.25,29,47,1.6,2.64,7,37,9.1,4.25,11.59,NULL,NULL,NULL,N
50371,2012,DE,OLB,CHRIS,FENNER,76.13,240,23.1,5,33.875,10.125,82,19,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
19448,2015,WR,WR,JOHN,EDWARDS,71.63,215,22.9,4.55,31.125,9.125,77.5,25,40,1.65,2.61,7.07,32.5,10.01,4.25,11.81,15,9.5,194.079,Y
57019,2014,OT,OG,ANTHONY,JONES,76.63,314,24,5.05,32.625,10.25,77.25,19,32,1.82,2.96,7.71,28.5,8.07,4.6,NULL,29,NULL,NULL,N
21855,2014,ILB,ILB,DREW,COMPTON,69,238,NULL,4.98,32,9.375,76.75,20,28,1.69,2.9,7.34,29,9,4.54,12.03,16,NULL,NULL,N
89056,2013,OC,OC,KYLE,DAVIS,73.38,298,22,5.63,34.625,9.75,81.75,18,32,1.93,3.33,8.29,23.5,8.01,5.11,NULL,NULL,NULL,NULL,N
48116,2013,DE,DE,JACOB,RYAN,76.25,247,23.3,4.64,33.5,9.5,81.375,23,34,1.62,2.69,7.04,35,10,4.38,NULL,11,NULL,NULL,N
94119,2014,DT,DT,JOHN,BELL,73.88,317,22.6,5.3,33.375,10,80,15,37,1.88,3.06,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,N
58359,2013,ILB,ILB,CAMDEN,HATCHER,74,238,23,4.59,30.5,9.5,74.25,28,39,1.58,2.6,6.5,34.5,10.04,3.97,11.03,30,NULL,NULL,N
67508,2014,DT,DT,MARC,MATHIS,76.75,315,23.3,5.03,34.75,10.375,82.125,17,23,1.76,2.93,7.71,25.5,8.07,5.09,NULL,24,21.9,245.379,Y
29128,2012,ILB,ILB,ANTHONY,FALEMALU,74.25,265,22.2,4.67,32.625,9.75,78.5,18,23,1.6,2.64,7.56,32,9.09,4.63,12.13,NULL,14.3,227.48,Y
29646,2012,DT,DT,WILLIAM,STACY,75.5,292,NULL,5.27,32.125,9.5,77,27,39,1.8,3.03,7.99,25,7.11,4.82,NULL,17,NULL,NULL,N
48053,2014,WR,WR,KENDALL,IGWENAGU,71,193,22.1,NULL,29.75,8.375,72.875,20,34,NULL,NULL,6.8,33.5,NULL,4.52,12.09,11,NULL,NULL,N
22224,2012,DE,OLB,PHILIP,TUCK,74.5,271,24.1,5.14,33.25,10.625,78.625,15,41,1.74,2.97,7.25,30,9,4.48,12.17,18,NULL,NULL,N
